Row Labels,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,nouse
5,1.3,1.6,0.5,10.9,4.2,1.3,0.1,0.6,5.2,8.1,3.2,7.2,1.3,0.7,0,5,1,2,3.2,0.2,4.7,10.1,2.3,nouse
15,1.6,26.4,1.9,28.7,0.1,0.7,0,0.1,4.7,26.9,1.3,6.3,12.6,1.2,4.8,2.9,11.2,3.5,3.1,0,7.9,0.1,1.9,nouse
25,5.4,21.4,1.8,30.8,2.1,0.8,6.8,1,5,4.6,0.7,14.4,2.9,0.1,2.6,19.3,15.6,0.8,8.5,0,8,6.9,4.6,nouse
35,4.9,5.8,2.1,7.4,2.5,2.2,24.1,1.4,0,5.5,1.4,27.3,1.1,0.3,3.9,1.3,6.3,28.8,2.5,0,1.3,0.4,2.8,nouse
45,4.1,13.9,1.3,63.9,0.8,0.6,22.3,0.1,7.4,0,0,5.7,0.2,0.9,0,4.2,1.8,36.1,2.7,0.1,43.8,5.9,0.4,nouse
55,1.5,4.7,0.4,9.7,0.1,0.3,21.7,0,1.8,1.4,0,42.4,0.1,0.4,10.7,0.1,5.2,30.1,0.2,0.2,10.3,1.2,1.8,nouse
65,0.2,8,2,7,1.1,0.2,34.4,0.7,5.3,0,1.8,70,0,0,19.1,0.4,4.6,33.7,3.4,0,3.1,21.2,12.4,nouse
75,3.5,6.6,0.4,3.3,0,0.4,24.7,3,0,8.8,3.3,40.1,1.4,0.4,14.9,0.8,0.6,12.3,0.2,0.2,16.7,15.8,6.5,nouse
85,2.4,18.6,0.1,0.9,4.7,0.1,0,1.1,2.7,0,1.1,38.1,7.7,8.7,25.5,3.8,0,10.7,0.3,0.1,0.5,2.7,0.6,nouse
95,0.4,19.7,0.1,0.1,0.1,0,4.2,0.9,16.8,0,4.7,1.4,2.2,5.1,6.4,0,0,0.7,1.2,1.7,0.6,17.5,0,nouse
105,0.2,7,0.5,0.7,5.5,0,7.2,0.4,0.9,0,0.6,0.4,0.7,2.1,2.2,0,0,7.8,0,0,0,17,0,nouse
115,0,2.5,13.7,0.2,0.5,0,2.8,0,30.7,0.4,0.1,0.1,12.7,0,0,1,3.8,36.9,1.2,0.1,0,1.1,3.6,nouse
125,0,12,0,2.4,5.1,0,4.8,0,0,7.2,0.3,0,4,0,0,0,2,0.4,2.9,0,0,0.2,0.8,nouse
135,0,13.5,0.1,0.2,0,0,0.8,0,25.5,5,0.6,0.6,6.5,0,5.1,0,0,0,0,0,0,0,7.7,nouse
145,0.5,0,0,0,0,0,2.1,0,0,8.1,0,2.4,0,0,3,0,0,11.5,2.7,0,2.2,0,0.6,nouse
155,1.2,0,0,4.8,0,0.3,4.5,0,7.1,6.4,0,4.8,9.5,0,0,0,0,17.2,0,0,1.3,0,0.6,nouse
165,0,0,1.7,0,0,0.5,12.1,1.1,0,2.8,0,3.5,1.2,0.1,0.6,0,1.3,0,0,1.5,18.1,0,0,nouse
175,0,0,0.5,0,0.9,0,9.1,0,0,0,0.1,0,0.1,0,0,0,1.4,13,0,0.8,0,0,0,nouse
185,0,1.3,0.3,0,0,0.5,12.3,0,3.6,0,0.1,0,1.8,0,0,0.2,1.4,0.3,0,0,0,0.8,2.4,nouse
195,0.1,3.4,0.6,0,0,0,2.1,0.5,0,0,0,3.5,0,0,0,0,0.3,0.4,0,0,0.1,0,0.8,nouse
250,0.2,0.7,1.4,0.1,0.5,1,12.9,0.5,2.6,0.2,0.2,7.6,3.5,0,54.9,0,1.1,2,1.6,6.5,27.1,1.8,0,nouse
350,0.3,0.4,1.4,0.1,3.5,1.4,11,0.3,1.4,10.5,4.9,0,4.7,0,18,29,5.4,1.1,0,8.5,2.4,0.6,0.1,nouse
450,0.3,0,1,11.8,8.5,0,1.6,0.2,0,0,3.7,0.3,2.9,0,2.2,0,0.1,0,0,7.8,8.2,0,0,nouse
550,2,0,0,9,0,0,0.5,0,0,0,2.3,0,5.7,0,0.2,0,0.2,0,6.8,6.7,39.8,0,0,nouse
650,3.8,0,0,0.9,0,0,0,0,0,0,3.2,0,0.2,0,0,0,0,0,3.1,3.7,8.2,0,0,nouse
750,0.1,0,0.2,0,0,0,0.6,0,0,0,2,0,0.6,0,0,0,0,0,0,0.2,0,0,0,nouse
850,1.4,0,0,0,0,0,0,0,0,0,0.5,0,0.6,0,0,0,0.2,0,0,2.6,0,0,0,nouse
950,0,0,0,0,0,0,0,0,0,0,5.4,0,1.8,0,0,0,0,0,0.9,0,0,0,0,nouse
1050,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,nouse
1150,0,0,0.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.7,5.6,0,0,0,nouse
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nouse